,Kernel,Nu,Gamma,Degree,Fmeasure
308,rbf,0.75,0.5,3,0.5241264559068219
309,rbf,0.75,1.0,3,0.5058236272878536
310,rbf,0.75,1.5,3,0.49750415973377704
311,rbf,0.75,2.0,3,0.4908485856905158
312,rbf,0.75,2.5,3,0.49750415973377704
313,rbf,0.75,3.0,3,0.4908485856905158
314,rbf,0.75,3.5,3,0.4925124792013311
315,rbf,0.75,4.0,3,0.4858569051580699
316,rbf,0.75,4.5,3,0.4841930116472546
317,rbf,0.75,5.0,3,0.4825291181364393
318,rbf,0.75,10.0,3,0.480865224625624
319,rbf,0.9,0.5,3,0.5008319467554077
320,rbf,0.9,1.0,3,0.502495840266223
321,rbf,0.9,1.5,3,0.49916805324459235
322,rbf,0.9,2.0,3,0.49916805324459235
323,rbf,0.9,2.5,3,0.502495840266223
324,rbf,0.9,3.0,3,0.5091514143094842
325,rbf,0.9,3.5,3,0.5124792013311148
326,rbf,0.9,4.0,3,0.5207986688851913
327,rbf,0.9,4.5,3,0.5174708818635607
328,rbf,0.9,5.0,3,0.5141430948419301
329,rbf,0.9,10.0,3,0.5374376039933444
